"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","valencia","2020-06-30",4620,"LA MALVA-ROSA",39.47553,-0.32461,"Townhouse","Entire home/apt",7,4,6,"$150.00",2,365,4,122.5,3185
"2","valencia","2020-06-30",45528,"EL SALER",39.3553,-0.32387,"Condominium","Entire home/apt",4,2,3,"$80.00",15,30,0,80,2400
"3","valencia","2020-06-30",48154,"MORVEDRE",39.48575,-0.37428,"Apartment","Entire home/apt",4,2,2,"$45.00",3,15,18,74.1666666666667,890
"4","valencia","2020-06-30",55692,"LA SEU",39.47681,-0.37523,"Apartment","Entire home/apt",3,1,1,"$100.00",1,730,0,100,3000
"5","valencia","2020-06-30",95393,"EL CARME",39.47787,-0.38142,"Apartment","Entire home/apt",6,3,6,"$134.00",1,14,26,136.5,546
"6","valencia","2020-06-30",100347,"ARRANCAPINS",39.45965,-0.38453,"Apartment","Entire home/apt",6,3,3,"$100.00",5,10,27,110,330
"7","valencia","2020-06-30",102524,"CABANYAL-CANYAMELAR",39.47209,-0.33098,"House","Entire home/apt",16,5,16,"$400.00",3,1125,19,425,4675
"8","valencia","2020-06-30",103386,"EL PILAR",39.47591,-0.38243,"Serviced apartment","Entire home/apt",5,2,3,"$84.00",1,14,29,84,84
"9","valencia","2020-06-30",121035,"SANT FRANCESC",39.47156,-0.37603,"House","Private room",2,1,1,"$37.00",1,30,0,38.9333333333333,1168
"10","valencia","2020-06-30",129331,"LA ROQUETA",39.46848,-0.38074,"Apartment","Entire home/apt",2,1,1,"$55.00",5,150,26,55,220
"11","valencia","2020-06-30",136378,"EL MERCAT",39.47387,-0.3777,"Condominium","Entire home/apt",3,1,0,"$75.00",5,90,14,75,1200
"12","valencia","2020-06-30",137737,"LA PETXINA",39.46992,-0.39093,"Apartment","Entire home/apt",2,1,1,"$55.00",2,20,0,100,3000
"13","valencia","2020-06-30",146771,"EN CORTS",39.45624,-0.36809,"House","Private room",2,1,1,"$32.00",2,30,30,NA,0
"14","valencia","2020-06-30",147548,"MONT-OLIVET",39.46195,-0.36063,"Apartment","Entire home/apt",11,4,9,"$280.00",2,330,27,320,960
"15","valencia","2020-06-30",149715,"CABANYAL-CANYAMELAR",39.46609,-0.32673,"House","Entire home/apt",10,6,7,"$215.00",3,30,15,211,3165
"16","valencia","2020-06-30",152369,"EL CARME",39.47863,-0.38219,"Loft","Entire home/apt",2,0,1,"$60.00",2,365,29,60,60
"17","valencia","2020-06-30",153375,"MONT-OLIVET",39.46031,-0.35974,"Apartment","Entire home/apt",2,1,2,"$20.00",180,1125,0,20,600
"18","valencia","2020-06-30",165971,"LA ROQUETA",39.4679,-0.38206,"Apartment","Entire home/apt",5,1,2,"$56.00",4,27,15,67.0666666666667,1006
"19","valencia","2020-06-30",166315,"EL MERCAT",39.47237,-0.37965,"Apartment","Entire home/apt",4,1,4,"$80.00",5,90,20,80,800
"20","valencia","2020-06-30",169284,"NOU MOLES",39.46759,-0.39067,"Apartment","Entire home/apt",3,1,1,"$30.00",1,1125,4,32.6923076923077,850
"21","valencia","2020-06-30",182221,"LA CREU DEL GRAU",39.46167,-0.34249,"Apartment","Entire home/apt",6,2,5,"$90.00",1,1125,29,120,120
"22","valencia","2020-06-30",185398,"LA PETXINA",39.47398,-0.39155,"Apartment","Entire home/apt",8,3,8,"$59.00",1,1125,30,NA,0
"23","valencia","2020-06-30",191651,"BENICALAP",39.49345,-0.3933,"Condominium","Entire home/apt",8,4,5,"$80.00",3,360,30,NA,0
"24","valencia","2020-06-30",192674,"EL CARME",39.48034,-0.37912,"Apartment","Entire home/apt",5,2,3,"$90.00",3,365,30,NA,0
"25","valencia","2020-06-30",193326,"CABANYAL-CANYAMELAR",39.47294,-0.32912,"Apartment","Private room",2,1,2,"$21.00",1,1125,30,NA,0
"26","valencia","2020-06-30",222753,"EN CORTS",39.4578,-0.36927,"House","Private room",3,2,2,"$31.00",2,365,30,NA,0
"27","valencia","2020-06-30",225070,"CABANYAL-CANYAMELAR",39.47152,-0.32993,"Apartment","Private room",2,1,3,"$19.00",1,365,30,NA,0
"28","valencia","2020-06-30",231347,"EL MERCAT",39.47281,-0.37767,"Apartment","Entire home/apt",6,2,3,"$60.00",1,1125,27,67.6666666666667,203
"29","valencia","2020-06-30",231367,"MONT-OLIVET",39.45747,-0.36805,"Apartment","Entire home/apt",2,1,1,"$42.00",1,1125,0,87.3333333333333,2620
"30","valencia","2020-06-30",247994,"LA MALVA-ROSA",39.48082,-0.32889,"Condominium","Entire home/apt",5,2,4,"$65.00",3,364,0,65,1950
"31","valencia","2020-06-30",250981,"LA CREU DEL GRAU",39.46271,-0.34266,"Apartment","Entire home/apt",6,2,3,"$94.00",3,365,29,130,130
"32","valencia","2020-06-30",252608,"LA SEU",39.47499,-0.3751,"Condominium","Entire home/apt",4,1,2,"$80.00",6,1125,0,80,2400
"33","valencia","2020-06-30",260929,"EXPOSICIO",39.47686,-0.36422,"Apartment","Private room",2,1,1,"$45.00",2,25,29,45,45
"34","valencia","2020-06-30",260935,"EXPOSICIO",39.47663,-0.36315,"Apartment","Private room",2,1,1,"$35.00",1,21,29,35,35
"35","valencia","2020-06-30",265340,"RUSSAFA",39.46255,-0.37454,"Loft","Entire home/apt",2,1,1,"$85.00",2,180,30,NA,0
"36","valencia","2020-06-30",273373,"LA MALVA-ROSA",39.48183,-0.32578,"Townhouse","Entire home/apt",14,4,14,"$270.00",3,365,2,325,9100
"37","valencia","2020-06-30",276455,"LA CARRASCA",39.47273,-0.33993,"Apartment","Private room",1,1,1,"$38.00",2,14,30,NA,0
"38","valencia","2020-06-30",288057,"MORVEDRE",39.48441,-0.37405,"Apartment","Entire home/apt",3,1,1,"$59.00",3,120,2,76.6428571428571,2146
"39","valencia","2020-06-30",308525,"EL BOTANIC",39.47469,-0.38608,"Loft","Entire home/apt",3,1,2,"$60.00",4,365,0,70,2100
"40","valencia","2020-06-30",313137,"RUSSAFA",39.46332,-0.37462,"Apartment","Entire home/apt",4,2,2,"$44.00",3,365,20,65,650
"41","valencia","2020-06-30",338751,"EL PILAR",39.47498,-0.38302,"Apartment","Entire home/apt",4,2,3,"$80.00",2,90,20,61.7,617
"42","valencia","2020-06-30",342806,"EL MERCAT",39.47528,-0.3774,"Apartment","Private room",3,1,2,"$43.00",2,45,29,43,43
"43","valencia","2020-06-30",345690,"LA MALVA-ROSA",39.48054,-0.32525,"Bed and breakfast","Private room",3,1,1,"$200.00",1,1125,30,NA,0
"44","valencia","2020-06-30",345709,"EL CARME",39.47863,-0.38141,"Apartment","Entire home/apt",3,1,3,"$50.00",10,365,30,NA,0
"45","valencia","2020-06-30",346695,"EL CARME",39.47911,-0.37716,"Apartment","Entire home/apt",4,2,2,"$75.00",2,365,12,52.5555555555556,946
"46","valencia","2020-06-30",349904,"EL CARME",39.4787,-0.38099,"Loft","Entire home/apt",4,2,2,"$90.00",3,365,30,NA,0
"47","valencia","2020-06-30",359710,"LA CREU DEL GRAU",39.46056,-0.3421,"Apartment","Entire home/apt",4,2,2,"$39.00",3,180,4,69,1794
"48","valencia","2020-06-30",361016,"ARRANCAPINS",39.46241,-0.38445,"Apartment","Entire home/apt",6,3,5,"$71.00",2,180,20,77,770
"49","valencia","2020-06-30",364517,"CIUTAT DE LES ARTS I DE LES CIENCIES",39.45496,-0.3588,"Apartment","Private room",2,1,2,"$40.00",2,10,0,40,1200
"50","valencia","2020-06-30",364906,"MARXALENES",39.48522,-0.38525,"Apartment","Entire home/apt",4,3,3,"$50.00",6,1125,30,NA,0
"51","valencia","2020-06-30",377455,"RUSSAFA",39.46357,-0.37417,"Loft","Entire home/apt",3,1,3,"$45.00",3,330,29,45,45
"52","valencia","2020-06-30",379870,"SANT FRANCESC",39.47146,-0.37729,"Apartment","Entire home/apt",2,1,2,"$120.00",3,330,27,120,360
"53","valencia","2020-06-30",379871,"SANT FRANCESC",39.47146,-0.37729,"Apartment","Entire home/apt",6,3,6,"$270.00",3,330,28,290,580
"54","valencia","2020-06-30",396062,"NOU MOLES",39.47292,-0.402,"Apartment","Entire home/apt",4,2,3,"$80.00",2,1125,19,83.6363636363636,920
"55","valencia","2020-06-30",407451,"EL SALER",39.35878,-0.31932,"Condominium","Entire home/apt",3,1,1,"$60.00",100,1125,28,60,120
"56","valencia","2020-06-30",414667,"EL MERCAT",39.47516,-0.37712,"Apartment","Entire home/apt",6,3,4,"$160.00",2,1125,1,185.51724137931,5380
"57","valencia","2020-06-30",421405,"EL MERCAT",39.47415,-0.37746,"Apartment","Private room",1,1,1,"$29.00",2,30,1,29.551724137931,857
"58","valencia","2020-06-30",437683,"SANT FRANCESC",39.47146,-0.37729,"Apartment","Entire home/apt",2,1,2,"$100.00",3,330,27,120,360
"59","valencia","2020-06-30",447232,"EL MERCAT",39.47302,-0.37897,"Apartment","Entire home/apt",4,1,2,"$75.00",3,365,4,75,1950
"60","valencia","2020-06-30",455833,"ARRANCAPINS",39.46191,-0.38468,"Apartment","Entire home/apt",4,2,3,"$60.00",2,30,26,60,240
"61","valencia","2020-06-30",462101,"EL PERELLONET",39.29159,-0.28473,"Apartment","Private room",5,1,4,"$125.00",1,1125,0,125,3750
"62","valencia","2020-06-30",467151,"BENICALAP",39.49236,-0.39944,"Condominium","Entire home/apt",3,1,2,"$75.00",2,1125,26,73.5,294
"63","valencia","2020-06-30",472858,"CIUTAT JARDI",39.47409,-0.34397,"Apartment","Private room",4,1,0,"$20.00",3,365,0,21.6,648
"64","valencia","2020-06-30",476415,"PENYA-ROJA",39.46118,-0.35395,"Apartment","Entire home/apt",5,2,3,"$70.00",2,90,29,100,100
"65","valencia","2020-06-30",478752,"SANT PAU",39.49038,-0.40433,"Apartment","Entire home/apt",4,1,3,"$60.00",3,400,0,131.166666666667,3935
"66","valencia","2020-06-30",480180,"SANT FRANCESC",39.47146,-0.37729,"Apartment","Entire home/apt",2,1,2,"$100.00",3,330,27,120,360
"67","valencia","2020-06-30",480218,"SANT FRANCESC",39.47146,-0.37729,"Apartment","Entire home/apt",2,1,2,"$120.00",3,330,9,120,2520
"68","valencia","2020-06-30",487638,"EL PLA DEL REMEI",39.46929,-0.36488,"Apartment","Entire home/apt",2,1,1,"$75.00",2,180,0,75,2250
"69","valencia","2020-06-30",491152,"CIUTAT JARDI",39.47351,-0.34618,"Apartment","Private room",1,2,1,"$29.00",1,1125,30,NA,0
"70","valencia","2020-06-30",491295,"LA MALVA-ROSA",39.47524,-0.32821,"Apartment","Entire home/apt",3,2,2,"$75.00",3,31,0,75,2250
"71","valencia","2020-06-30",493409,"AIORA",39.46331,-0.33924,"Apartment","Entire home/apt",12,5,8,"$225.00",5,60,0,238.333333333333,7150
"72","valencia","2020-06-30",503545,"PATRAIX",39.46134,-0.39084,"Apartment","Private room",2,1,1,"$20.00",2,7,21,16.1111111111111,145
"73","valencia","2020-06-30",508758,"ARRANCAPINS",39.47032,-0.38787,"Apartment","Private room",5,3,3,"$45.00",2,1125,30,NA,0
"74","valencia","2020-06-30",522347,"LA SEU",39.47518,-0.37514,"Apartment","Private room",2,1,2,"$29.00",2,15,30,NA,0
"75","valencia","2020-06-30",524523,"EXPOSICIO",39.4768,-0.3635,"Apartment","Private room",1,1,1,"$20.00",2,21,30,NA,0
"76","valencia","2020-06-30",528679,"MESTALLA",39.47626,-0.35548,"Apartment","Entire home/apt",7,4,5,"$90.00",10,1125,30,NA,0
"77","valencia","2020-06-30",530706,"EL PILAR",39.47232,-0.38093,"Apartment","Entire home/apt",3,1,1,"$65.00",1,1125,0,65,1950
"78","valencia","2020-06-30",538813,"LA CARRASCA",39.4797,-0.35263,"Apartment","Entire home/apt",3,1,1,"$54.00",4,1125,30,NA,0
"79","valencia","2020-06-30",542794,"LA ROQUETA",39.46447,-0.38021,"Loft","Entire home/apt",3,2,3,"$59.00",30,360,0,59.2666666666667,1778
"80","valencia","2020-06-30",545639,"EL PLA DEL REMEI",39.46808,-0.37298,"House","Private room",2,1,2,"$35.00",2,1125,28,35,70
"81","valencia","2020-06-30",549738,"EL PLA DEL REMEI",39.46891,-0.37184,"House","Private room",2,1,2,"$45.00",2,1125,28,45,90
"82","valencia","2020-06-30",550630,"ARRANCAPINS",39.46702,-0.38446,"Apartment","Entire home/apt",6,3,7,"$71.00",1,1125,27,93.3333333333333,280
"83","valencia","2020-06-30",551884,"LA SEU",39.47694,-0.37708,"Apartment","Entire home/apt",6,2,3,"$55.00",1,1125,8,69.5,1529
"84","valencia","2020-06-30",556620,"TRINITAT",39.48461,-0.36856,"Apartment","Private room",1,1,1,"$20.00",2,31,29,18,18
"85","valencia","2020-06-30",556631,"EL PILAR",39.47205,-0.38189,"Guest suite","Entire home/apt",8,3,6,"$200.00",7,364,29,200,200
"86","valencia","2020-06-30",557514,"CIUTAT JARDI",39.47037,-0.34425,"Apartment","Private room",2,1,2,"$45.00",1,1125,29,45,45
"87","valencia","2020-06-30",558480,"LA SEU",39.47656,-0.37791,"Apartment","Entire home/apt",4,1,2,"$49.00",1,1125,10,54.3,1086
"88","valencia","2020-06-30",558778,"RUSSAFA",39.46321,-0.36776,"Apartment","Entire home/apt",6,3,3,"$122.00",4,28,30,NA,0
"89","valencia","2020-06-30",559966,"EL MERCAT",39.47427,-0.37864,"Apartment","Entire home/apt",4,2,3,"$65.00",4,1125,0,65,1950
"90","valencia","2020-06-30",579273,"SANT FRANCESC",39.4708,-0.38262,"Loft","Entire home/apt",3,1,2,"$48.00",2,365,23,52.2857142857143,366
"91","valencia","2020-06-30",587429,"MONT-OLIVET",39.45958,-0.36478,"Apartment","Entire home/apt",2,1,2,"$40.00",3,40,0,40,1200
"92","valencia","2020-06-30",588848,"LA ROQUETA",39.46619,-0.37963,"Apartment","Entire home/apt",2,1,2,"$50.00",2,1125,30,NA,0
"93","valencia","2020-06-30",589007,"RUSSAFA",39.46316,-0.37492,"Apartment","Entire home/apt",5,2,4,"$100.00",2,1125,30,NA,0
"94","valencia","2020-06-30",595233,"SANT PAU",39.4743,-0.40862,"Condominium","Entire home/apt",3,1,1,"$39.00",2,1125,1,43.8275862068966,1271
"95","valencia","2020-06-30",607073,"CABANYAL-CANYAMELAR",39.47274,-0.32932,"Apartment","Private room",5,1,1,"$120.00",5,30,30,NA,0
"96","valencia","2020-06-30",612457,"LA ROQUETA",39.46773,-0.37844,"Apartment","Entire home/apt",4,1,1,"$35.00",1,1125,21,35,315
"97","valencia","2020-06-30",620433,"EL CARME",39.47812,-0.38213,"Apartment","Entire home/apt",4,2,5,"$60.00",2,1125,29,90,90
"98","valencia","2020-06-30",633762,"LA SEU",39.4787,-0.37599,"Loft","Entire home/apt",4,0,2,"$55.00",2,180,6,90.9166666666667,2182
"99","valencia","2020-06-30",641695,"RUSSAFA",39.46349,-0.37538,"Apartment","Private room",2,1,1,"$60.00",31,31,0,84,2520
"100","valencia","2020-06-30",643644,"RUSSAFA",39.46227,-0.37798,"Apartment","Entire home/apt",3,1,1,"$69.00",1,30,11,69.8421052631579,1327
"101","valencia","2020-06-30",657566,"EL MERCAT",39.47608,-0.3792,"Apartment","Entire home/apt",6,2,5,"$15.00",1,1125,5,56.88,1422
"102","valencia","2020-06-30",657794,"EN CORTS",39.45643,-0.37432,"Apartment","Entire home/apt",6,3,4,"$61.00",2,365,30,NA,0
"103","valencia","2020-06-30",658275,"SANT FRANCESC",39.47107,-0.37297,"Apartment","Private room",2,1,2,"$34.00",2,700,17,34.7692307692308,452
"104","valencia","2020-06-30",662934,"LA ROQUETA",39.46983,-0.38299,"Apartment","Entire home/apt",8,4,5,"$120.00",5,30,0,120,3600
"105","valencia","2020-06-30",663047,"CAMI FONDO",39.46565,-0.35466,"Apartment","Entire home/apt",4,2,2,"$89.00",3,1125,0,150,4500
"106","valencia","2020-06-30",665208,"CABANYAL-CANYAMELAR",39.46721,-0.32721,"Loft","Entire home/apt",2,1,4,"$59.00",6,30,18,59,708
"107","valencia","2020-06-30",666386,"LA CREU DEL GRAU",39.46389,-0.34643,"Apartment","Entire home/apt",4,1,4,"$31.00",5,1125,0,35,1050
"108","valencia","2020-06-30",666994,"ARRANCAPINS",39.46739,-0.38957,"Apartment","Entire home/apt",7,3,7,"$50.00",2,1125,0,63.3333333333333,1900
"109","valencia","2020-06-30",671096,"RUSSAFA",39.46206,-0.37578,"Apartment","Private room",1,1,1,"$40.00",2,3,28,40,80
"110","valencia","2020-06-30",672212,"EL GRAU",39.4586,-0.33802,"Bungalow","Entire home/apt",4,2,3,"$120.00",6,30,23,120,840
"111","valencia","2020-06-30",672551,"EL BOTANIC",39.47404,-0.38558,"Loft","Entire home/apt",10,5,9,"$195.00",2,1125,19,240,2640
"112","valencia","2020-06-30",676386,"LES TENDETES",39.48311,-0.38521,"House","Entire home/apt",4,1,2,"$150.00",4,30,0,131.333333333333,3940
"113","valencia","2020-06-30",681002,"CIUTAT DE LES ARTS I DE LES CIENCIES",39.45911,-0.35788,"Apartment","Entire home/apt",4,2,2,"$23.00",3,330,3,24.3333333333333,657
"114","valencia","2020-06-30",681925,"EL MERCAT",39.47321,-0.38044,"Loft","Entire home/apt",2,1,2,"$100.00",2,10,1,89.8275862068966,2605
"115","valencia","2020-06-30",682219,"SANT ANTONI",39.48763,-0.37592,"Apartment","Entire home/apt",4,1,2,"$55.00",3,25,0,83.3333333333333,2500
"116","valencia","2020-06-30",684439,"EL MERCAT",39.47531,-0.37852,"Apartment","Entire home/apt",7,3,5,"$60.00",1,1125,7,75.4782608695652,1736
"117","valencia","2020-06-30",685153,"EN CORTS",39.4553,-0.37444,"Apartment","Entire home/apt",6,4,5,"$125.00",4,200,1,136.034482758621,3945
"118","valencia","2020-06-30",688130,"L'AMISTAT",39.47246,-0.3535,"Apartment","Entire home/apt",7,4,7,"$115.00",4,150,29,115,115
"119","valencia","2020-06-30",698472,"EL GRAU",39.46204,-0.33498,"Apartment","Entire home/apt",5,3,3,"$48.00",3,1125,15,66.3333333333333,995
"120","valencia","2020-06-30",698779,"RUSSAFA",39.45971,-0.37143,"House","Private room",4,2,2,"$35.00",1,10,0,36.3333333333333,1090
"121","valencia","2020-06-30",714886,"EL PERELLONET",39.30509,-0.29351,"Apartment","Entire home/apt",5,3,4,"$95.00",1,1125,12,97.5,1755
"122","valencia","2020-06-30",716081,"RUSSAFA",39.4607,-0.37628,"Apartment","Entire home/apt",5,3,4,"$95.00",31,1125,18,95,1140
"123","valencia","2020-06-30",717770,"SANT FRANCESC",39.47029,-0.37473,"Apartment","Entire home/apt",4,2,3,"$120.00",2,365,0,120,3600
"124","valencia","2020-06-30",720307,"EL BOTANIC",39.47572,-0.38478,"Apartment","Entire home/apt",2,1,1,"$30.00",2,300,0,34.5333333333333,1036
"125","valencia","2020-06-30",724380,"EL MERCAT",39.4742,-0.3807,"Apartment","Entire home/apt",5,2,3,"$55.00",1,1125,29,75,75
"126","valencia","2020-06-30",730074,"SANT FRANCESC",39.4712,-0.3785,"Apartment","Entire home/apt",6,2,5,"$125.00",2,365,24,125,750
"127","valencia","2020-06-30",733452,"EL MERCAT",39.4746,-0.37827,"Apartment","Entire home/apt",6,3,7,"$60.00",1,1125,14,76.75,1228
"128","valencia","2020-06-30",737684,"MONT-OLIVET",39.45811,-0.36828,"Apartment","Entire home/apt",6,3,4,"$55.00",2,1001,19,49,539
"129","valencia","2020-06-30",739558,"MONT-OLIVET",39.45781,-0.36583,"Apartment","Entire home/apt",5,3,4,"$55.00",3,1125,30,NA,0
"130","valencia","2020-06-30",739981,"LA MALVA-ROSA",39.47956,-0.32654,"House","Entire home/apt",16,5,16,"$1,200.00",2,1125,30,NA,0
"131","valencia","2020-06-30",747069,"RUSSAFA",39.46027,-0.37166,"Apartment","Private room",2,1,3,"$25.00",2,14,30,NA,0
"132","valencia","2020-06-30",747076,"RUSSAFA",39.46088,-0.37291,"Apartment","Private room",2,1,3,"$25.00",1,21,26,25,100
"133","valencia","2020-06-30",754961,"LA ROQUETA",39.46662,-0.38124,"Apartment","Entire home/apt",4,2,4,"$125.00",2,365,23,125,875
"134","valencia","2020-06-30",756434,"EL CARME",39.478,-0.379,"Apartment","Entire home/apt",2,1,1,"$110.00",2,365,0,110,3300
"135","valencia","2020-06-30",756440,"SANT FRANCESC",39.46949,-0.37918,"Apartment","Entire home/apt",10,5,9,"$180.00",2,365,21,180,1620
"136","valencia","2020-06-30",760857,"EL MERCAT",39.47305,-0.38039,"Apartment","Entire home/apt",4,1,2,"$75.00",14,365,10,50.7,1014
"137","valencia","2020-06-30",762006,"EL SALER",39.35806,-0.32068,"Apartment","Entire home/apt",4,2,4,"$40.00",2,90,0,45,1350
"138","valencia","2020-06-30",772085,"EXPOSICIO",39.47663,-0.3652,"Apartment","Private room",2,1,1,"$30.00",1,1125,0,30,900
"139","valencia","2020-06-30",772380,"EL MERCAT",39.47391,-0.37675,"Loft","Entire home/apt",2,1,1,"$69.00",3,365,16,81.8571428571429,1146
"140","valencia","2020-06-30",776819,"EL CARME",39.47668,-0.37992,"Loft","Entire home/apt",4,1,2,"$59.00",2,1125,26,78.5,314
"141","valencia","2020-06-30",779542,"ELS ORRIOLS",39.49438,-0.37139,"Apartment","Entire home/apt",6,2,0,"$26.00",10,1125,0,55.8,1674
"142","valencia","2020-06-30",782942,"EL MERCAT",39.47384,-0.37677,"Loft","Entire home/apt",2,1,1,"$69.00",3,365,8,78.5454545454545,1728
"143","valencia","2020-06-30",790900,"CABANYAL-CANYAMELAR",39.46682,-0.32584,"Apartment","Entire home/apt",16,6,10,"$470.00",2,365,7,470,10810
"144","valencia","2020-06-30",793674,"LA MALVA-ROSA",39.47685,-0.32738,"Apartment","Private room",2,1,1,"$29.00",3,1125,11,29,551
"145","valencia","2020-06-30",796840,"CABANYAL-CANYAMELAR",39.46957,-0.32641,"Apartment","Entire home/apt",8,3,5,"$250.00",3,365,22,250,2000
"146","valencia","2020-06-30",796848,"CABANYAL-CANYAMELAR",39.46969,-0.32592,"Apartment","Entire home/apt",8,3,5,"$250.00",3,365,11,250,4750
"147","valencia","2020-06-30",802383,"LA MALVA-ROSA",39.48216,-0.32816,"Apartment","Entire home/apt",4,2,3,"$33.00",7,1124,0,55.8,1674
"148","valencia","2020-06-30",814174,"ARRANCAPINS",39.4606,-0.38358,"Apartment","Entire home/apt",2,1,1,"$32.00",4,5,0,32,960
"149","valencia","2020-06-30",824917,"EL MERCAT",39.47608,-0.37965,"Apartment","Entire home/apt",5,2,4,"$15.00",1,1125,4,56.8076923076923,1477
"150","valencia","2020-06-30",832274,"SANT FRANCESC",39.47119,-0.37211,"Condominium","Entire home/apt",3,1,2,"$67.00",3,180,14,81.875,1310
"151","valencia","2020-06-30",846465,"LA MALVA-ROSA",39.48333,-0.32833,"Apartment","Entire home/apt",4,3,4,"$100.00",7,150,30,NA,0
"152","valencia","2020-06-30",852911,"RUSSAFA",39.45832,-0.37453,"Apartment","Private room",4,1,3,"$25.00",16,150,11,25,475
"153","valencia","2020-06-30",853840,"LA SEU",39.47385,-0.37554,"Loft","Entire home/apt",4,1,2,"$50.00",2,1125,29,60,60
"154","valencia","2020-06-30",868370,"ARRANCAPINS",39.46772,-0.38593,"Apartment","Entire home/apt",8,3,7,"$240.00",2,365,11,240,4560
"155","valencia","2020-06-30",868554,"EL BOTANIC",39.47738,-0.38448,"Apartment","Entire home/apt",4,2,2,"$60.00",30,1125,24,60,360
"156","valencia","2020-06-30",868779,"ARRANCAPINS",39.46858,-0.38441,"Apartment","Entire home/apt",6,3,5,"$131.00",2,365,0,131,3930
"157","valencia","2020-06-30",870369,"ARRANCAPINS",39.4674,-0.38398,"Apartment","Entire home/apt",8,3,5,"$130.00",3,1125,0,130,3900
"158","valencia","2020-06-30",873348,"EL MERCAT",39.47455,-0.38107,"Apartment","Entire home/apt",6,3,6,"$134.00",1,14,26,136.5,546
"159","valencia","2020-06-30",880307,"LA RAIOSA",39.45987,-0.38732,"Apartment","Entire home/apt",3,2,2,"$45.00",3,365,2,45,1260
"160","valencia","2020-06-30",887909,"EL MERCAT",39.47384,-0.38108,"Apartment","Entire home/apt",4,1,2,"$49.00",1,1125,0,53.2333333333333,1597
"161","valencia","2020-06-30",888045,"EL MERCAT",39.47418,-0.38099,"Apartment","Entire home/apt",4,1,2,"$49.00",1,1125,0,53.2333333333333,1597
"162","valencia","2020-06-30",888048,"EL PILAR",39.47549,-0.38281,"Apartment","Entire home/apt",4,1,2,"$69.00",1,1125,0,68.8666666666667,2066
"163","valencia","2020-06-30",891288,"LA PETXINA",39.47531,-0.38849,"Apartment","Private room",1,1,0,"$30.00",1,30,30,NA,0
"164","valencia","2020-06-30",896304,"EL PERELLONET",39.29705,-0.28734,"Loft","Entire home/apt",4,2,3,"$60.00",2,90,0,114,3420
"165","valencia","2020-06-30",899254,"EL PILAR",39.47551,-0.38168,"Apartment","Entire home/apt",5,2,3,"$64.00",1,1125,0,65.4333333333333,1963
"166","valencia","2020-06-30",904675,"ALBORS",39.46814,-0.35562,"Apartment","Entire home/apt",3,1,1,"$75.00",3,1125,0,89,2670
"167","valencia","2020-06-30",905591,"EL PILAR",39.47245,-0.38346,"Apartment","Entire home/apt",3,2,2,"$150.00",2,1125,29,70,70
"168","valencia","2020-06-30",906357,"RUSSAFA",39.46262,-0.37099,"Apartment","Entire home/apt",4,2,3,"$75.00",2,90,30,NA,0
"169","valencia","2020-06-30",909244,"TRINITAT",39.48534,-0.36717,"Apartment","Entire home/apt",2,2,2,"$90.00",30,365,30,NA,0
"170","valencia","2020-06-30",909291,"LA PETXINA",39.46981,-0.38881,"Apartment","Entire home/apt",3,2,2,"$60.00",4,30,28,60,120
"171","valencia","2020-06-30",909800,"EL GRAU",39.46012,-0.33179,"Apartment","Entire home/apt",6,4,1,"$40.00",360,1125,30,NA,0
"172","valencia","2020-06-30",920406,"RUSSAFA",39.46042,-0.36814,"Apartment","Entire home/apt",7,2,3,"$50.00",1,1125,14,37.0625,593
"173","valencia","2020-06-30",923390,"SANT FRANCESC",39.46913,-0.37511,"Apartment","Entire home/apt",6,2,3,"$68.00",3,60,29,75,75
"174","valencia","2020-06-30",927457,"SANT FRANCESC",39.46859,-0.37392,"Condominium","Entire home/apt",3,1,2,"$67.00",3,180,10,81.9,1638
"175","valencia","2020-06-30",929005,"RUSSAFA",39.4618,-0.37343,"Apartment","Private room",2,1,2,"$30.00",1,1125,29,30,30
"176","valencia","2020-06-30",933927,"SANT FRANCESC",39.46774,-0.37434,"Apartment","Entire home/apt",3,1,2,"$55.00",13,1124,30,NA,0
"177","valencia","2020-06-30",938734,"EL MERCAT",39.4749,-0.37743,"Apartment","Entire home/apt",4,1,2,"$49.00",1,1125,0,53.2666666666667,1598
"178","valencia","2020-06-30",940297,"EL MERCAT",39.47326,-0.37719,"Apartment","Entire home/apt",4,1,2,"$80.00",1,1125,0,74.9666666666667,2249
"179","valencia","2020-06-30",943191,"RUSSAFA",39.46259,-0.36997,"Apartment","Entire home/apt",4,2,4,"$30.00",2,365,0,65,1950
"180","valencia","2020-06-30",949370,"ALBORS",39.4663,-0.3514,"Apartment","Entire home/apt",5,2,3,"$84.00",2,1125,0,88.2666666666667,2648
"181","valencia","2020-06-30",953223,"RUSSAFA",39.46393,-0.37324,"Apartment","Entire home/apt",5,2,5,"$75.00",1,1125,0,76.6,2298
"182","valencia","2020-06-30",955937,"SANT PAU",39.47747,-0.40027,"Loft","Entire home/apt",2,1,1,"$75.00",2,90,0,77.6666666666667,2330
"183","valencia","2020-06-30",960147,"EL MERCAT",39.47577,-0.38067,"Condominium","Entire home/apt",2,1,1,"$60.00",2,1125,27,50,150
